key,uuid,kind,indicator_label,code,unit,module,scenario,value,value_per_declared_unit
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,A5,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,C1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,C2,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,C3,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,C4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,D,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,A1-A3,,0.649726,0.649726
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,A4,,0.00229385412168829,0.00229385412168829
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,A5,,0.0134123164977296,0.0134123164977296
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,C1,,0.000233960029133207,0.000233960029133207
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,C2,,0.00113968080081737,0.00113968080081737
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,C3,,0.00559353879710325,0.00559353879710325
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,C4,,0.0212135666919881,0.0212135666919881
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of net fresh water (FW),FW,m^3,D,,-0.00926058933445118,-0.00926058933445118
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,A1-A3,,2.67335257337366e-07,2.67335257337366e-07
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,A4,,1.84065928300416e-09,1.84065928300416e-09
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,A5,,1.91759909068448e-10,1.91759909068448e-10
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,C1,,1.87736742020459e-10,1.87736742020459e-10
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,C2,,9.145150190031e-10,9.145150190031e-10
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,C3,,1.25293631965082e-09,1.25293631965082e-09
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,C4,,9.13086092220283e-09,9.13086092220283e-09
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Hazardous waste disposed (HWD),HWD,kg,D,,-8.64153012004266e-09,-8.64153012004266e-09
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non hazardous waste disposed (NHWD),NHWD,kg,A1-A3,,2.19362318495361,2.19362318495361
